Date,Close,High,Low,Open,Volume,SMA_Short,SMA_Long,RSI,Signal
,META,META,META,META,META,,,,
2024-10-30,590.8,600.18,588.38,599.96,26864900,581.6465,553.6628,61.93204328564173,0
2024-10-31,566.62,588.9,562.06,584.01,26838400,580.8885,554.3204000000001,47.376483517685045,0
2024-11-01,566.2,572.7,561.61,566.65,15303200,579.452,555.034,47.16911210711016,0
2024-11-04,559.73,567.73,556.94,563.14,12064600,578.249,555.6966,43.97581292671661,0
2024-11-05,571.46,572.51,565.71,566.34,9775400,577.2275,556.731,50.51646490011131,0
2024-11-06,571.08,572.03,554.23,561.8,18305400,576.3059999999999,557.798,50.31154534586196,0
2024-11-07,590.7,593.79,574.24,575.91,14653700,576.699,559.3038,59.45633199823947,0
2024-11-08,588.34,592.1,583.53,590.54,9415700,576.6685,560.7335999999999,58.071868309810434,0
2024-11-11,582.18,586.01,575.53,585.37,10209100,576.3065,561.9786,54.50433609800517,0
2024-11-12,583.83,598.64,579.4,587.54,16287700,576.234,563.447,55.29652957066243,0
2024-11-13,579.02,584.65,574.2,581.62,10757600,576.3945,564.7998,52.430434919876554,0
2024-11-14,576.18,579.78,572.04,576.02,11053700,576.406,566.0136,50.75760524591583,0
2024-11-15,553.14,571.6,550.57,570.25,17712900,575.2885,567.0974,39.693097992017066,0
2024-11-18,553.46,558.95,549.16,556.1,14346700,574.252,568.0976,39.88908913691634,0
2024-11-19,560.14,560.48,549.67,550.93,9522400,573.208,569.2314,43.98178844120015,0
2024-11-20,564.56,565.39,553.26,561.98,9797300,573.2995,570.313,46.57382487886184,0
2024-11-21,562.14,569.03,548.12,568.56,11154700,573.0654999999999,571.0716,45.33690515890094,0
2024-11-22,558.19,562.87,553.65,562.6,9164000,572.3610000000001,571.7707999999999,43.31480624170523,0
2024-11-25,564.15,571.62,555.45,561.15,13599800,571.7095,572.4062,47.145408778704365,-1
2024-11-26,572.57,576.52,564.24,565.04,10356600,570.7245,573.1494,52.07293357736532,0
2024-11-27,568.24,574.01,563.14,573.92,7200200,569.5965,573.7734,49.516376769818656,0
2024-11-29,573.35,577.48,565.94,568.04,7130500,569.933,574.0774,52.48137832023665,0
2024-12-02,591.83,593.49,574.59,576.52,12522400,571.2144999999999,574.706,61.32732589825951,0
2024-12-03,612.61,613.16,590.25,593.99,14907200,573.8585,575.6892,68.44150868140244,0
2024-12-04,612.74,616.73,604.07,611.92,14697000,575.9225,576.6964,68.48057312297404,0
2024-12-05,607.9,618.85,606.02,616.03,8081200,577.7635,577.5074000000001,65.24252825509195,1
2024-12-06,622.71,628.72,607.5,609.07,16935500,579.364,578.624,69.92817591365453,0
2024-12-09,612.53,625.34,605.14,622.86,11426000,580.5735,579.5466,63.58305046873077,0
2024-12-10,618.27,624.53,611.7,616.51,10938900,582.3779999999999,580.4826,65.48477462975903,0
2024-12-11,631.61,637.32,620.48,622.31,10837200,584.767,581.605,69.47443796268797,0
2024-12-12,629.72,635.58,626.15,630.43,7474700,587.3019999999999,582.7626,68.27037694895553,0
2024-12-13,619.3,630.01,615.84,626.16,8453300,589.458,583.513,61.90080367086163,0
2024-12-16,623.69,630.59,618.03,629.42,10885600,592.9855,584.0882,63.44808627244611,0
2024-12-17,618.89,631.81,615.99,625.61,12897800,596.257,584.7901999999999,60.55243129563161,0
2024-12-18,596.66,626.8,595.79,620.45,17075500,598.0830000000001,584.8856,49.32504458942857,0
2024-12-19,595.04,610.98,594.47,609.85,14958100,599.607,584.9962,48.61758648447587,0
2024-12-20,584.73,602.57,579.48,590.06,48989400,600.7365,585.034,44.2661438275658,0
2024-12-23,599.32,600.56,585.73,589.08,10205800,602.793,585.2414,50.9558682775106,0
2024-12-24,607.21,607.45,598.75,602.18,4726100,604.946,585.5972,54.160205355271835,0
2024-12-26,602.81,605.76,598.41,604.94,6081400,606.458,585.9478,52.11528399998982,0
2024-12-27,599.28,601.32,589.28,598.88,8084200,608.01,586.4172,50.46891570332747,0
2024-12-30,590.71,596.41,585.06,588.23,7025900,608.8779999999999,586.7124,46.61847247278587,0
2024-12-31,584.99,593.44,583.33,591.74,6019500,608.5360000000001,586.9024,44.19488526545638,0
2025-01-02,598.71,604.37,587.3,589.2,12682300,607.841,587.3928,50.80171805266772,0
2025-01-03,604.09,608.96,595.88,604.22,11436800,607.4085,587.8542,53.1442989514854,0
2025-01-06,629.64,630.43,605.08,611.29,14560800,608.4955,589.1924,62.32016330517478,0
2025-01-07,617.34,631.54,607.69,631.14,12071500,608.227,590.2028,56.57613333137233,0
2025-01-08,610.18,615.89,602.25,612.85,10085800,608.1095,590.9608000000001,53.48570663365388,0
2025-01-10,615.31,629.35,596.81,609.49,19256600,607.9615,591.7234,55.366890955267486,0
2025-01-13,607.79,608.43,597.92,606.56,10785000,606.7705,592.0338,52.044110321842496,0
2025-01-14,593.72,604.95,588.03,604.53,13598000,604.9705,592.0922,46.42965153850772,0
2025-01-15,616.57,621.91,605.96,609.67,15524300,604.8340000000001,593.0912000000001,54.932699758286404,0
2025-01-16,610.76,615.7,609.17,610.96,8355300,604.1875,593.9824,52.64458153590234,0
2025-01-17,612.23,624.41,603.13,623.5,17280600,603.8545,595.0323999999999,53.176006379997276,0
2025-01-21,615.91,620.95,608.47,617.28,11674000,604.817,595.9214,54.55103377773096,0
2025-01-22,622.95,633.14,618.88,622.75,12274000,606.2125,596.9588,57.14381533187901,0
2025-01-23,635.88,636.03,620.6,626.8,9910200,608.7700000000001,597.8624000000001,61.48926096882129,0
2025-01-24,646.91,651.42,633.64,635.83,19065300,611.1495000000001,599.0338,64.77085318429403,0
2025-01-27,659.29,663.28,624.54,626.05,28399200,613.7535,600.576,68.06057839245985,0
2025-01-28,673.73,681.97,658.88,665.41,20950100,617.2995,602.374,71.41368183968223,0
2025-01-29,675.89,680.44,665.08,674.4,21377800,621.13,604.3114,71.88908937442923,0
2025-01-30,686.39,710.16,675.5,696.2,29322900,625.914,606.5156,74.1404689113442,0
2025-01-31,688.57,704.67,684.97,690.39,19331700,631.0930000000001,609.2242,74.59539220259077,0
2025-02-03,696.84,703.37,674.65,675.31,21415700,635.9995,612.0918,76.29881072308663,0
2025-02-04,703.56,707.08,691.0,701.88,13826300,640.973,614.9602,77.6124150317928,0
2025-02-05,704.24,717.5,698.39,702.92,17778200,644.7030000000001,617.7538,77.74681861790128,0
2025-02-06,711.36,718.26,702.87,705.25,13080700,649.404,620.7382,79.15774416211599,0
2025-02-07,713.88,724.37,711.12,716.16,16427100,654.589,623.8520000000001,79.64954729804711,0
2025-02-10,716.76,720.56,710.7,717.92,12904300,659.6614999999999,626.9042,80.22388095721398,0
2025-02-11,719.16,723.02,709.41,712.69,12998000,665.23,629.836,80.71238938601506,0
2025-02-12,724.74,726.45,711.97,714.66,12016500,671.7810000000001,632.966,81.8358399202534,0
2025-02-13,727.91,728.35,717.4,720.88,12569100,677.3480000000001,636.0572,82.46085943963443,0
2025-02-14,736.02,740.25,724.98,725.49,16901200,683.6110000000001,638.941,83.97964567501447,0
2025-02-18,715.73,736.34,705.81,735.35,21938700,688.7860000000001,641.0034,68.09286714591487,0
2025-02-19,703.14,706.37,694.77,703.47,17535500,693.1475,642.8114,60.451090976796515,0
2025-02-20,694.22,705.0,693.02,696.66,12587400,696.711,644.5378,55.68305469544226,0
2025-02-21,682.94,703.24,681.75,695.96,15660400,699.064,645.7424,50.28201903103028,0
2025-02-24,667.54,686.66,661.86,685.67,15677000,700.0955,646.8426000000001,44.006278993259514,0
2025-02-25,656.92,667.41,641.29,665.38,20579700,699.9770000000001,647.6156,40.27328121701463,0
2025-02-26,673.1,682.4,657.42,659.06,14488700,699.9455,648.4454000000001,47.57050171132517,0
2025-02-27,657.65,688.04,656.99,681.84,12500000,699.0335,649.0039999999999,42.26089718034107,0
2025-02-28,667.61,669.03,642.03,657.46,17534200,698.0944999999999,649.9702,46.41327796802126,0
2025-03-03,654.47,680.64,650.26,673.08,10843800,696.3895,650.5858000000001,42.11059605845998,0
